team_id_home,home_team,game_id,game_date,matchup_home,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,pts_home,team_id_away,team_abbreviation_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,pts_away
1610612738,BOS,20800001,28/10/2008 00:00,BOS vs. CLE,W,33,74,0.446,3,14,0.214,21,34,0.618,90,1610612739,CLE,L,29,68,0.426,3,15,0.2,24,33,0.727,85
1610612747,LAL,20800003,28/10/2008 00:00,LAL vs. POR,W,37,79,0.468,7,10,0.7,15,18,0.833,96,1610612757,POR,L,29,84,0.345,10,24,0.417,8,14,0.571,76
1610612741,CHI,20800002,28/10/2008 00:00,CHI vs. MIL,W,35,69,0.507,5,12,0.417,33,44,0.75,108,1610612749,MIL,L,37,78,0.474,6,14,0.429,15,20,0.75,95
1610612752,NYK,20800007,29/10/2008 00:00,NYK vs. MIA,W,42,87,0.483,9,25,0.36,27,37,0.73,120,1610612748,MIA,L,42,92,0.457,6,23,0.261,25,33,0.758,115
1610612753,ORL,20800004,29/10/2008 00:00,ORL vs. ATL,L,32,87,0.368,4,25,0.16,17,27,0.63,85,1610612737,ATL,W,38,86,0.442,5,20,0.25,18,31,0.581,99
1610612746,LAC,20800015,29/10/2008 00:00,LAC vs. LAL,L,30,78,0.385,5,22,0.227,14,23,0.609,79,1610612747,LAL,W,41,80,0.513,10,19,0.526,25,33,0.758,117
1610612744,GSW,20800014,29/10/2008 00:00,GSW vs. NOH,L,36,82,0.439,9,23,0.391,22,32,0.688,103,1610612740,NOH,W,41,82,0.5,7,17,0.412,19,27,0.704,108
1610612764,WAS,20800006,29/10/2008 00:00,WAS vs. NJN,L,30,81,0.37,5,21,0.238,20,30,0.667,85,1610612751,NJN,W,37,78,0.474,6,19,0.316,15,18,0.833,95
1610612750,MIN,20800009,29/10/2008 00:00,MIN vs. SAC,W,42,87,0.483,3,11,0.273,11,22,0.5,98,1610612758,SAC,L,36,80,0.45,5,17,0.294,19,25,0.76,96
1610612762,UTA,20800013,29/10/2008 00:00,UTA vs. DEN,W,37,79,0.468,2,8,0.25,22,28,0.786,98,1610612743,DEN,L,36,77,0.468,4,13,0.308,18,28,0.643,94
1610612760,OKC,20800010,29/10/2008 00:00,OKC vs. MIL,L,32,73,0.438,1,6,0.167,22,31,0.71,87,1610612749,MIL,W,35,76,0.461,7,18,0.389,21,26,0.808,98
1610612759,SAS,20800011,29/10/2008 00:00,SAS vs. PHX,L,40,80,0.5,5,15,0.333,13,19,0.684,98,1610612756,PHX,W,39,79,0.494,6,15,0.4,19,27,0.704,103
1610612755,PHI,20800005,29/10/2008 00:00,PHI vs. TOR,L,29,84,0.345,5,20,0.25,21,28,0.75,84,1610612761,TOR,W,36,81,0.444,10,16,0.625,13,17,0.765,95
1610612745,HOU,20800012,29/10/2008 00:00,HOU vs. MEM,W,28,76,0.368,5,16,0.313,21,25,0.84,82,1610612763,MEM,L,31,81,0.383,0,13,0,9,13,0.692,71
1610612765,DET,20800008,29/10/2008 00:00,DET vs. IND,W,40,91,0.44,6,13,0.462,14,16,0.875,100,1610612754,IND,L,33,67,0.493,4,12,0.333,24,29,0.828,94
1610612742,DAL,20800017,30/10/2008 00:00,DAL vs. HOU,L,35,84,0.417,4,16,0.25,28,34,0.824,102,1610612745,HOU,W,38,79,0.481,7,14,0.5,29,32,0.906,112
1610612739,CLE,20800016,30/10/2008 00:00,CLE vs. CHA,W,35,72,0.486,7,22,0.318,19,29,0.655,96,1610612766,CHA,L,25,74,0.338,3,12,0.25,26,31,0.839,79
1610612756,PHX,20800018,30/10/2008 00:00,PHX vs. NOH,L,37,68,0.544,7,18,0.389,14,21,0.667,95,1610612740,NOH,W,37,78,0.474,13,24,0.542,21,28,0.75,108
