game_id,game_date,home_team,away_team,fg3m_home,ftm_home,pts_home,fg3m_away,ftm_away,pts_away,fg2m_home,fg2m_away,home_win,home_code,away_code
20800001,28/10/2008 00:00,BOS,CLE,3,21,90,3,24,85,30,26,1,1,4
20800003,28/10/2008 00:00,LAL,POR,7,15,96,10,8,76,30,19,1,12,24
20800002,28/10/2008 00:00,CHI,MIL,5,33,108,6,15,95,30,31,1,3,15
20800007,29/10/2008 00:00,NYK,MIA,9,27,120,6,25,115,33,36,1,19,14
20800004,29/10/2008 00:00,ORL,ATL,4,17,85,5,18,99,28,33,0,21,0
20800015,29/10/2008 00:00,LAC,LAL,5,14,79,10,25,117,25,31,0,11,12
20800014,29/10/2008 00:00,GSW,NOH,9,22,103,7,19,108,27,34,0,8,18
20800006,29/10/2008 00:00,WAS,NJN,5,20,85,6,15,95,25,31,0,29,17
20800009,29/10/2008 00:00,MIN,SAC,3,11,98,5,19,96,39,31,1,16,25
20800013,29/10/2008 00:00,UTA,DEN,2,22,98,4,18,94,35,32,1,28,6
20800010,29/10/2008 00:00,OKC,MIL,1,22,87,7,21,98,31,28,0,20,15
20800011,29/10/2008 00:00,SAS,PHX,5,13,98,6,19,103,35,33,0,26,23
20800005,29/10/2008 00:00,PHI,TOR,5,21,84,10,13,95,24,26,0,22,27
20800012,29/10/2008 00:00,HOU,MEM,5,21,82,0,9,71,23,31,1,9,13
20800008,29/10/2008 00:00,DET,IND,6,14,100,4,24,94,34,29,1,7,10
20800017,30/10/2008 00:00,DAL,HOU,4,28,102,7,29,112,31,31,0,5,9
20800016,30/10/2008 00:00,CLE,CHA,7,19,96,3,26,79,28,22,1,4,2
20800018,30/10/2008 00:00,PHX,NOH,7,14,95,13,21,108,30,24,0,23,18
20800021,31/10/2008 00:00,MIA,SAC,8,19,103,2,17,77,30,27,1,14,25
20800025,31/10/2008 00:00,POR,SAS,6,18,100,9,14,99,32,29,1,24,26
20800023,31/10/2008 00:00,MEM,ORL,2,24,86,10,16,84,28,19,1,13,21
20800022,31/10/2008 00:00,BOS,CHI,2,30,96,2,28,80,30,23,1,1,3
20800019,31/10/2008 00:00,PHI,NYK,2,10,116,7,16,87,50,25,1,22,19
20800024,31/10/2008 00:00,LAC,DEN,3,26,103,3,34,113,34,35,0,11,6
20800020,31/10/2008 00:00,TOR,GSW,6,26,112,11,13,108,34,31,1,27,8
20800031,01/11/2008 00:00,NJN,GSW,6,21,97,7,34,105,29,25,0,17,8
20800037,01/11/2008 00:00,DEN,LAL,8,21,97,6,32,104,26,27,0,6,12
20800030,01/11/2008 00:00,DET,WAS,6,27,117,4,23,109,36,37,1,7,29
20800039,01/11/2008 00:00,PHX,POR,6,25,107,9,13,96,32,28,1,23,24
20800033,01/11/2008 00:00,NOH,CLE,7,25,104,9,11,92,29,27,1,18,4
20800027,01/11/2008 00:00,CHA,MIA,5,21,100,5,18,87,32,27,1,2,14
20800036,01/11/2008 00:00,MIL,TOR,3,12,87,8,23,91,33,22,0,15,27
20800034,01/11/2008 00:00,CHI,MEM,8,24,96,3,19,86,24,29,1,3,13
20800029,01/11/2008 00:00,ORL,SAC,8,25,121,5,20,103,36,34,1,21,25
20800026,01/11/2008 00:00,ATL,PHI,8,9,95,6,12,88,31,29,1,0,22
20800035,01/11/2008 00:00,HOU,OKC,6,27,89,0,9,77,22,34,1,9,20
20800028,01/11/2008 00:00,IND,BOS,6,23,95,4,21,79,27,23,1,10,1
20800032,01/11/2008 00:00,MIN,DAL,1,22,85,5,16,95,30,32,0,16,5
20800038,01/11/2008 00:00,UTA,LAC,2,13,101,3,18,79,41,26,1,28,11
20800040,02/11/2008 00:00,NYK,MIL,12,14,86,4,18,94,18,32,0,19,15
20800041,02/11/2008 00:00,OKC,MIN,1,13,88,3,16,85,36,30,1,20,16
20800044,03/11/2008 00:00,PHI,SAC,10,25,125,4,15,91,35,32,1,22,25
20800046,03/11/2008 00:00,DAL,CLE,3,20,81,5,25,100,26,30,0,5,4
20800045,03/11/2008 00:00,MEM,GSW,4,14,90,3,10,79,32,30,1,13,8
20800042,03/11/2008 00:00,CHA,DET,3,28,83,8,9,101,23,34,0,2,7
20800043,03/11/2008 00:00,ORL,CHI,9,21,96,5,12,93,24,33,1,21,3
20800047,03/11/2008 00:00,LAC,UTA,6,9,73,0,25,89,23,32,0,11,28
20800050,04/11/2008 00:00,SAS,DAL,7,14,81,7,5,98,23,36,0,26,5
20800048,04/11/2008 00:00,NJN,PHX,7,23,86,12,16,114,21,31,0,17,23
20800049,04/11/2008 00:00,HOU,BOS,7,24,99,3,20,103,27,37,0,9,1
20800055,05/11/2008 00:00,CLE,CHI,5,28,107,8,23,93,32,23,1,4,3
20800061,05/11/2008 00:00,SAC,MEM,6,16,100,11,22,95,33,20,1,25,13
